field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
q02_direct_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q02_minimum_documentary_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q02_partial_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q02_review_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q02_top_blocking_requirements,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q02_unknown_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_cell_documentary_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_cell_representativeness_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_direct_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_minimum_documentary_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_partial_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_review_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_top_blocking_requirements,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q03_unknown_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_cell_documentary_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_cell_representativeness_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_direct_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_minimum_documentary_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_partial_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_review_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_top_blocking_requirements,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q04_unknown_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_cell_documentary_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_cell_representativeness_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_direct_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_minimum_documentary_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_partial_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_review_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_top_blocking_requirements,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q05_unknown_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
question_code,Suficiência por pergunta,cell_question_sufficiency_long.csv | dimension_dependency_matrix.csv | question_global_summary.csv | question_registry.csv | question_requirement_matrix.csv | question_scale_summary.csv | well_question_sufficiency_long.csv | well_requirement_status_long.csv,Código estável da pergunta científica.,Q01 a Q05.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
question_name,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv | question_registry.csv | question_scale_summary.csv | well_question_sufficiency_long.csv,Nome da pergunta científica.,Rótulo controlado pelo registro de perguntas.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
question_objective,Suficiência por pergunta,question_registry.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
record_state,Suficiência por pergunta,well_question_sufficiency_long.csv,Estado documental do poço para a pergunta.,Mínimo somente quando todos os requisitos críticos são demonstrados.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
representative_wells_n,Suficiência por pergunta,question_global_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
representativeness_state,Suficiência por pergunta,well_question_sufficiency_long.csv,Estado de representatividade no nível indicado.,Não é inferido por proximidade ou contagem.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
requirement_code,Suficiência por pergunta,question_requirement_matrix.csv | well_requirement_status_long.csv,Código estável do requisito.,Combinação de pergunta e requisito.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
requirement_name,Suficiência por pergunta,question_requirement_matrix.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
requirement_status,Suficiência por pergunta,well_requirement_status_long.csv,Estado observado do requisito no poço.,DEMONSTRADO nas regras atuais ou código explícito de revisão ou UNKNOWN.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
review_evidence_n,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
role,Suficiência por pergunta,dimension_dependency_matrix.csv | question_requirement_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
scale_km2,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_scale_summary.csv | question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
score_used,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv | question_registry.csv | well_question_sufficiency_long.csv,Declara uso de score.,FALSE em toda a V2.4.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
sgb2024_unit_aflorante,Suficiência por pergunta,well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
source_field,Suficiência por pergunta,question_requirement_matrix.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
source_field_a,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
source_field_b,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
source_ids,Suficiência por pergunta,question_registry.csv | question_requirement_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
source_value,Suficiência por pergunta,well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
substitution_allowed,Suficiência por pergunta,dimension_dependency_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
sum_direct_evidence,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
sum_minimum_documentary,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
sum_wells,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
top_blocking_requirements,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv,Requisitos bloqueadores mais frequentes na célula ou síntese.,Pares código e contagem ordenados apenas para auditoria.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
universal_numeric_threshold_used,Suficiência por pergunta,question_registry.csv | question_requirement_matrix.csv,Declara se foi usado limiar numérico universal.,FALSE em toda a V2.4.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
universal_well_count_threshold_used,Suficiência por pergunta,cell_question_sufficiency_long.csv,Declara se a célula foi classificada por quantidade universal de poços.,FALSE em toda a V2.4.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
unknown_evidence_n,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
unknown_rule,Suficiência por pergunta,question_requirement_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
variant,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
weight_used,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_registry.csv | question_requirement_matrix.csv | well_question_sufficiency_long.csv,Declara uso de peso.,FALSE em toda a V2.4.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
weights_used,Suficiência por pergunta,question_global_summary.csv,Declara uso de pesos.,FALSE em toda a V2.4.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
well_id,Suficiência por pergunta,well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
